number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,2.975616478649427,2026-07-07 20:30:09.170186,2026-07-07 20:30:10.687158,0 days 00:00:01.516972,,log2,7,182,COMPLETE
1,2.9851929882721997,2026-07-07 20:30:10.688160,2026-07-07 20:30:12.692022,0 days 00:00:02.003862,,log2,4,314,COMPLETE
2,2.9672487999996555,2026-07-07 20:30:12.693047,2026-07-07 20:30:13.767163,0 days 00:00:01.074116,6.0,sqrt,1,164,COMPLETE
3,3.0224523003408748,2026-07-07 20:30:13.768179,2026-07-07 20:30:18.515790,0 days 00:00:04.747611,,1.0,1,309,COMPLETE
4,2.9837716579858036,2026-07-07 20:30:18.516836,2026-07-07 20:30:19.576153,0 days 00:00:01.059317,16.0,sqrt,7,157,COMPLETE
5,3.011408105929202,2026-07-07 20:30:19.577322,2026-07-07 20:30:23.637756,0 days 00:00:04.060434,12.0,1.0,7,303,COMPLETE
6,2.984865138927276,2026-07-07 20:30:23.639215,2026-07-07 20:30:25.090871,0 days 00:00:01.451656,6.0,1.0,7,131,COMPLETE
7,2.972274537139329,2026-07-07 20:30:25.091977,2026-07-07 20:30:25.936769,0 days 00:00:00.844792,6.0,log2,3,116,COMPLETE
8,2.992197380969285,2026-07-07 20:30:25.937809,2026-07-07 20:30:27.898965,0 days 00:00:01.961156,16.0,sqrt,4,296,COMPLETE
9,2.9917797510658235,2026-07-07 20:30:27.899989,2026-07-07 20:30:28.803447,0 days 00:00:00.903458,12.0,sqrt,4,123,COMPLETE
10,2.986266161249386,2026-07-07 20:30:28.804464,2026-07-07 20:30:30.386884,0 days 00:00:01.582420,8.0,sqrt,1,234,COMPLETE
11,2.9685853813879217,2026-07-07 20:30:30.387845,2026-07-07 20:30:31.771092,0 days 00:00:01.383247,6.0,log2,2,199,COMPLETE
12,2.968447634486813,2026-07-07 20:30:31.772315,2026-07-07 20:30:33.707762,0 days 00:00:01.935447,6.0,log2,2,208,COMPLETE
13,2.960051749767885,2026-07-07 20:30:33.712850,2026-07-07 20:30:37.331778,0 days 00:00:03.618928,4.0,sqrt,2,231,COMPLETE
14,2.9608530629477934,2026-07-07 20:30:37.333808,2026-07-07 20:30:41.031378,0 days 00:00:03.697570,4.0,sqrt,2,252,COMPLETE
15,2.959353495114588,2026-07-07 20:30:41.037041,2026-07-07 20:30:43.781462,0 days 00:00:02.744421,4.0,sqrt,3,256,COMPLETE
16,2.9612759258365995,2026-07-07 20:30:43.784232,2026-07-07 20:30:46.075949,0 days 00:00:02.291717,4.0,sqrt,5,258,COMPLETE
17,2.9610354266351027,2026-07-07 20:30:46.076842,2026-07-07 20:30:47.465867,0 days 00:00:01.389025,4.0,sqrt,5,230,COMPLETE
18,2.960313787184525,2026-07-07 20:30:47.466840,2026-07-07 20:30:49.154904,0 days 00:00:01.688064,4.0,sqrt,3,280,COMPLETE
19,2.9601663939597214,2026-07-07 20:30:49.155887,2026-07-07 20:30:51.055441,0 days 00:00:01.899554,4.0,sqrt,3,267,COMPLETE
