feature,importance_mean,importance_std
Age,0.009295995450144656,0.008135392653770704
Self_Esteem_Score,0.008383720266247896,0.007432823546573604
Loneliness_Score,0.007860986000931724,0.007489109859602294
Physical_Activity_Hrs,0.007650063796771356,0.004051539532659254
Social_Support_Score,0.007531206309989135,0.00536695853828002
Education_Level,0.0037051480049701047,0.003034701050579648
Life_Satisfaction_Score,0.0018838799252798078,0.003917089846763956
Chronic_Illnesses,0.0014241418129773199,0.0010319508667952647
Work_Stress,0.001398504495455022,0.005689896002192418
Financial_Stress,0.0008472670860763199,0.0026918249447998592
Meditation,0.00023227687511411242,0.0015165145963176713
Therapy,0.0002245041855721386,0.0017838519577853332
Employment_Status,0.000199354394330431,0.002074797846025231
Gender,0.00014698658745464498,0.0013054198939977917
Family_History_Mental_Illness,1.7086437527802368e-05,0.00443949562469839
Medication_Use,1.602832172606927e-05,0.0014065593039418864
Substance_Use,-0.00013235091685168677,0.00032166614927218757
Sleep_Hours,-0.0026183462006472923,0.00582389208715437
