model,fold_id,rmse
RandomForest,1,3.1709981066724993
RandomForest,2,2.8587021769974563
RandomForest,3,2.9849667738539325
RandomForest,4,2.8852849996327135
RandomForest,5,2.9253163971691487
RandomForest,6,2.9430592152023562
RandomForest,7,2.9670529302920756
RandomForest,8,2.8843402608892528
RandomForest,9,2.8313676077286125
RandomForest,10,3.263645720056239
RandomForest,11,3.035822387257204
RandomForest,12,3.128435978294805
RandomForest,13,2.8383204040145857
RandomForest,14,2.8726818068219386
RandomForest,15,2.959620539771685
GradientBoosting,1,3.1877257515378887
GradientBoosting,2,2.8526012811960335
GradientBoosting,3,3.0217787117556987
GradientBoosting,4,2.8703510144351108
GradientBoosting,5,2.9294383972902565
GradientBoosting,6,2.9548332743176857
GradientBoosting,7,2.9705020976386796
GradientBoosting,8,2.9050075327149445
GradientBoosting,9,2.8405590938342327
GradientBoosting,10,3.24860749439477
GradientBoosting,11,3.01877267542944
GradientBoosting,12,3.1427366598018596
GradientBoosting,13,2.83015316366442
GradientBoosting,14,2.896856161869067
GradientBoosting,15,2.9467001527003727
XGBoost,1,3.175451667628106
XGBoost,2,2.8495219118922805
XGBoost,3,3.022114604704014
XGBoost,4,2.8753518124004485
XGBoost,5,2.9356458803603878
XGBoost,6,2.9613266460225685
XGBoost,7,2.968047987723934
XGBoost,8,2.9112156327928727
XGBoost,9,2.837135000517944
XGBoost,10,3.242496790749228
XGBoost,11,3.0213716337940095
XGBoost,12,3.1456068582449213
XGBoost,13,2.8330324731666834
XGBoost,14,2.889993969643846
XGBoost,15,2.9487591207921042
SVR,1,3.1562558920265067
SVR,2,2.8486585877955704
SVR,3,2.97740226800521
SVR,4,2.8684120133695665
SVR,5,2.9076968283829117
SVR,6,2.963112884182256
SVR,7,2.9206626576386427
SVR,8,2.8871420781786954
SVR,9,2.7926327843581538
SVR,10,3.2120448728538404
SVR,11,3.030651574042657
SVR,12,3.1069223582847014
SVR,13,2.8241329978379053
SVR,14,2.8449685448731996
SVR,15,2.9463743654766565
ElasticNet,1,3.1700112973669397
ElasticNet,2,2.8372752604313782
ElasticNet,3,2.9206539924333237
ElasticNet,4,2.8601416351649807
ElasticNet,5,2.91321505972098
ElasticNet,6,2.9454377091717814
ElasticNet,7,2.8965676526997717
ElasticNet,8,2.8805717429386064
ElasticNet,9,2.7551498528026848
ElasticNet,10,3.2084452027472934
ElasticNet,11,3.0044080689289165
ElasticNet,12,3.0966849154019167
ElasticNet,13,2.817500236005001
ElasticNet,14,2.839974038926267
ElasticNet,15,2.932702580463237
