feature,mean_abs_shap
num__Age,0.07983508333954757
num__Loneliness_Score,0.07577095511321887
num__Sleep_Hours,0.06325806934725878
num__Self_Esteem_Score,0.054833691307945076
num__Physical_Activity_Hrs,0.05004940174663178
num__Family_History_Mental_Illness,0.0498658425913134
num__Social_Support_Score,0.04005669404102405
num__Work_Stress,0.03074825240190186
num__Life_Satisfaction_Score,0.025044510911346626
num__Financial_Stress,0.021322874112186127
cat__Education_Level_Bachelor's,0.018596404602473575
num__Meditation,0.012363907310438061
cat__Gender_Male,0.01187403860204424
num__Chronic_Illnesses,0.009672762186261888
num__Therapy,0.007941181937340253
cat__Education_Level_PhD,0.007304292826291425
cat__Gender_Non-Binary,0.006394803516727834
cat__Employment_Status_Student,0.005577906364062697
cat__Employment_Status_Retired,0.005102867120537331
cat__Employment_Status_Unemployed,0.005067323021487895
cat__Education_Level_High School,0.004837432164804979
cat__Medication_Use_Occasional,0.004250364550553698
cat__Gender_Female,0.004189152363534236
cat__Education_Level_Master's,0.0039612178164224925
cat__Education_Level_Other,0.0036260382412900676
cat__Employment_Status_Employed,0.0028876948545804885
cat__Substance_Use_Frequent,0.0020647852381977254
cat__Medication_Use_Regular,0.0019017518537167643
cat__Gender_Other,0.0008164078614308259
cat__Substance_Use_Occasional,0.0002362643722291021
